IP,Categories,References,ReportDate,Comment
213.210.66.58,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:12:00.311902+00:00,"Related with IP detected by heuristics (Discovered IP: 213.210.66.58, Discovered URL: http://213.210.66.58, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
217.154.74.227,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:11:26.328643+00:00,"Related with IP detected by heuristics (Discovered IP: 217.154.74.227, Discovered URL: http://217.154.74.227, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
218.102.13.133,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:49:00.827175+00:00,"Related with IP detected by heuristics (Discovered IP: 218.102.13.133, Discovered URL: http://218.102.13.133, Verdict: Whitelist, HTTP Status: 403), Zeroday: No"
23.129.64.157,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:25:20.031941+00:00,"Related with IP detected by heuristics (Discovered IP: 23.129.64.157, Discovered URL: http://23.129.64.157, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
23.129.64.158,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:18:05.347981+00:00,"Related with IP detected by heuristics (Discovered IP: 23.129.64.158, Discovered URL: http://23.129.64.158, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
23.137.104.126,"Whitelist","HydraDragonAntivirusSearchEngine|Unknown",2025-09-30T13:54:18.092732+00:00,"Related with IP detected by heuristics (Discovered IP: 23.137.104.126, Discovered URL: http://23.137.104.126, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
23.191.200.8,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:04:10.137620+00:00,"Related with IP detected by heuristics (Discovered IP: 23.191.200.8, Discovered URL: http://23.191.200.8, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
23.253.230.65,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:07:52.489267+00:00,"Related with IP detected by heuristics (Discovered IP: 23.253.230.65, Discovered URL: http://23.253.230.65, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
45.33.198.147,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:26:52.005258+00:00,"Related with IP detected by heuristics (Discovered IP: 45.33.198.147, Discovered URL: http://45.33.198.147, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
45.76.74.56,"Whitelist","HydraDragonAntivirusSearchEngine|Unknown",2025-09-30T13:11:45.891350+00:00,"Related with IP detected by heuristics (Discovered IP: 45.76.74.56, Discovered URL: http://45.76.74.56, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
46.22.99.226,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:28:07.411379+00:00,"Related with IP detected by heuristics (Discovered IP: 46.22.99.226, Discovered URL: http://46.22.99.226, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
5.102.38.229,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:33:55.080508+00:00,"Related with IP detected by heuristics (Discovered IP: 5.102.38.229, Discovered URL: http://5.102.38.229, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
5.249.152.162,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:07:33.775911+00:00,"Related with IP detected by heuristics (Discovered IP: 5.249.152.162, Discovered URL: http://5.249.152.162, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
5.255.101.10,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:14:22.774333+00:00,"Related with IP detected by heuristics (Discovered IP: 5.255.101.10, Discovered URL: http://5.255.101.10, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
51.38.133.93,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:11:01.171325+00:00,"Related with IP detected by heuristics (Discovered IP: 51.38.133.93, Discovered URL: http://51.38.133.93, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
62.213.218.22,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:43:07.875595+00:00,"Related with IP detected by heuristics (Discovered IP: 62.213.218.22, Discovered URL: http://62.213.218.22, Verdict: Whitelist, HTTP Status: 403), Zeroday: No"
69.229.5.233,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:31:09.962841+00:00,"Related with IP detected by heuristics (Discovered IP: 69.229.5.233, Discovered URL: http://69.229.5.233, Verdict: Whitelist, HTTP Status: 403), Zeroday: No"
72.250.60.222,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:18:50.977127+00:00,"Related with IP detected by heuristics (Discovered IP: 72.250.60.222, Discovered URL: http://72.250.60.222, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
75.145.166.75,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:13:00.098859+00:00,"Related with IP detected by heuristics (Discovered IP: 75.145.166.75, Discovered URL: http://75.145.166.75, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
78.135.107.209,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:27:39.944895+00:00,"Related with IP detected by heuristics (Discovered IP: 78.135.107.209, Discovered URL: http://78.135.107.209, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
78.142.233.67,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:03:57.744960+00:00,"Related with IP detected by heuristics (Discovered IP: 78.142.233.67, Discovered URL: http://78.142.233.67, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
78.142.234.4,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:49:52.643688+00:00,"Related with IP detected by heuristics (Discovered IP: 78.142.234.4, Discovered URL: http://78.142.234.4, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
78.189.127.251,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:57:24.264374+00:00,"Related with IP detected by heuristics (Discovered IP: 78.189.127.251, Discovered URL: http://78.189.127.251, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
78.83.128.137,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:11:38.700286+00:00,"Related with IP detected by heuristics (Discovered IP: 78.83.128.137, Discovered URL: http://78.83.128.137, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
79.98.222.96,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:10:21.886216+00:00,"Related with IP detected by heuristics (Discovered IP: 79.98.222.96, Discovered URL: http://79.98.222.96, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
80.211.130.242,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:09:35.644858+00:00,"Related with IP detected by heuristics (Discovered IP: 80.211.130.242, Discovered URL: http://80.211.130.242, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
80.27.2.221,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:29:33.579571+00:00,"Related with IP detected by heuristics (Discovered IP: 80.27.2.221, Discovered URL: http://80.27.2.221, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
82.153.138.125,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:01:57.217741+00:00,"Related with IP detected by heuristics (Discovered IP: 82.153.138.125, Discovered URL: http://82.153.138.125, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
82.64.199.74,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:04:15.404949+00:00,"Related with IP detected by heuristics (Discovered IP: 82.64.199.74, Discovered URL: http://82.64.199.74, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
83.151.14.204,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:12:31.077714+00:00,"Related with IP detected by heuristics (Discovered IP: 83.151.14.204, Discovered URL: http://83.151.14.204, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
85.214.203.207,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:57:27.018651+00:00,"Related with IP detected by heuristics (Discovered IP: 85.214.203.207, Discovered URL: http://85.214.203.207, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
87.106.168.172,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:12:02.238864+00:00,"Related with IP detected by heuristics (Discovered IP: 87.106.168.172, Discovered URL: http://87.106.168.172, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
87.106.210.134,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:06:03.308442+00:00,"Related with IP detected by heuristics (Discovered IP: 87.106.210.134, Discovered URL: http://87.106.210.134, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
88.149.203.60,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:09:30.241147+00:00,"Related with IP detected by heuristics (Discovered IP: 88.149.203.60, Discovered URL: http://88.149.203.60, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
88.87.74.126,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:41:32.716312+00:00,"Related with IP detected by heuristics (Discovered IP: 88.87.74.126, Discovered URL: http://88.87.74.126, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
91.150.107.215,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:10:24.395042+00:00,"Related with IP detected by heuristics (Discovered IP: 91.150.107.215, Discovered URL: http://91.150.107.215, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
91.211.213.195,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:58:03.166125+00:00,"Related with IP detected by heuristics (Discovered IP: 91.211.213.195, Discovered URL: http://91.211.213.195, Verdict: Whitelist, HTTP Status: 403), Zeroday: No"
91.230.117.26,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:37:22.624287+00:00,"Related with IP detected by heuristics (Discovered IP: 91.230.117.26, Discovered URL: http://91.230.117.26, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
92.60.99.132,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:00:33.254823+00:00,"Related with IP detected by heuristics (Discovered IP: 92.60.99.132, Discovered URL: http://92.60.99.132, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
93.86.242.63,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:20:27.358155+00:00,"Related with IP detected by heuristics (Discovered IP: 93.86.242.63, Discovered URL: http://93.86.242.63, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
94.41.86.120,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:14:52.280635+00:00,"Related with IP detected by heuristics (Discovered IP: 94.41.86.120, Discovered URL: http://94.41.86.120, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
95.165.164.241,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:47:19.695950+00:00,"Related with IP detected by heuristics (Discovered IP: 95.165.164.241, Discovered URL: http://95.165.164.241, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
97.87.21.84,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:13:46.764590+00:00,"Related with IP detected by heuristics (Discovered IP: 97.87.21.84, Discovered URL: http://97.87.21.84, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
