IP,Categories,References,ReportDate,Comment
107.154.170.168,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:36:33.608702+00:00,"Related with IP detected by heuristics (Discovered IP: 107.154.170.168, Discovered URL: http://107.154.170.168, Verdict: Malware, HTTP Status: 503), Zeroday: No"
107.170.6.4,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:38:33.933199+00:00,"Related with IP detected by heuristics (Discovered IP: 107.170.6.4, Discovered URL: http://107.170.6.4, Verdict: Malware, HTTP Status: 404), Zeroday: No"
107.172.227.156,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:14:19.380007+00:00,"Related with IP detected by heuristics (Discovered IP: 107.172.227.156, Discovered URL: http://107.172.227.156, Verdict: Malware, HTTP Status: 404), Zeroday: No"
107.172.32.123,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:30:01.459980+00:00,"Related with IP detected by heuristics (Discovered IP: 107.172.32.123, Discovered URL: http://107.172.32.123, Verdict: Malware, HTTP Status: 404), Zeroday: No"
107.173.107.220,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:32:15.282437+00:00,"Related with IP detected by heuristics (Discovered IP: 107.173.107.220, Discovered URL: http://107.173.107.220, Verdict: Malware, HTTP Status: 400), Zeroday: No"
107.173.107.82,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:27:50.063328+00:00,"Related with IP detected by heuristics (Discovered IP: 107.173.107.82, Discovered URL: http://107.173.107.82, Verdict: Malware, HTTP Status: 400), Zeroday: No"
107.189.5.190,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:57:48.572359+00:00,"Related with IP detected by heuristics (Discovered IP: 107.189.5.190, Discovered URL: http://107.189.5.190, Verdict: Spam, HTTP Status: 404), Zeroday: No"
107.6.181.116,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T20:00:30.051577+00:00,"Related with IP detected by heuristics (Discovered IP: 107.6.181.116, Discovered URL: http://107.6.181.116, Verdict: Malware, HTTP Status: 500), Zeroday: No"
108.181.32.59,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:26:40.852798+00:00,"Related with IP detected by heuristics (Discovered IP: 108.181.32.59, Discovered URL: http://108.181.32.59, Verdict: Spam, HTTP Status: 400), Zeroday: No"
108.186.25.134,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:52:45.300842+00:00,"Related with IP detected by heuristics (Discovered IP: 108.186.25.134, Discovered URL: http://108.186.25.134, Verdict: Malware, HTTP Status: 404), Zeroday: No"
108.61.202.244,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:37:41.005818+00:00,"Related with IP detected by heuristics (Discovered IP: 108.61.202.244, Discovered URL: http://108.61.202.244, Verdict: Malware, HTTP Status: 500), Zeroday: No"
108.61.204.205,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:47:02.742836+00:00,"Related with IP detected by heuristics (Discovered IP: 108.61.204.205, Discovered URL: http://108.61.204.205, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.104.254.246,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:03:46.199748+00:00,"Related with IP detected by heuristics (Discovered IP: 109.104.254.246, Discovered URL: http://109.104.254.246, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.120.190.168,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:55:29.338231+00:00,"Related with IP detected by heuristics (Discovered IP: 109.120.190.168, Discovered URL: http://109.120.190.168, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.123.235.69,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:31:48.899593+00:00,"Related with IP detected by heuristics (Discovered IP: 109.123.235.69, Discovered URL: http://109.123.235.69, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.195.229.33,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T20:11:38.924242+00:00,"Related with IP detected by heuristics (Discovered IP: 109.195.229.33, Discovered URL: http://109.195.229.33, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.199.108.126,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:47:42.194413+00:00,"Related with IP detected by heuristics (Discovered IP: 109.199.108.126, Discovered URL: http://109.199.108.126, Verdict: Malware, HTTP Status: 404), Zeroday: No"
109.205.56.211,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:14:54.715150+00:00,"Related with IP detected by heuristics (Discovered IP: 109.205.56.211, Discovered URL: http://109.205.56.211, Verdict: Malware, HTTP Status: 404), Zeroday: No"
110.159.243.165,"BruteForce","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:23:01.737571+00:00,"Related with IP detected by heuristics (Discovered IP: 110.159.243.165, Discovered URL: http://110.159.243.165, Verdict: BruteForce, HTTP Status: 404), Zeroday: No"
110.238.76.243,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:51:16.495661+00:00,"Related with IP detected by heuristics (Discovered IP: 110.238.76.243, Discovered URL: http://110.238.76.243, Verdict: Malware, HTTP Status: 404), Zeroday: No"
112.121.163.11,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:03:53.740887+00:00,"Related with IP detected by heuristics (Discovered IP: 112.121.163.11, Discovered URL: http://112.121.163.11, Verdict: Malware, HTTP Status: 404), Zeroday: No"
112.213.91.82,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:36:56.078920+00:00,"Related with IP detected by heuristics (Discovered IP: 112.213.91.82, Discovered URL: http://112.213.91.82, Verdict: Malware, HTTP Status: 404), Zeroday: No"
113.161.1.2,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:48:13.273684+00:00,"Related with IP detected by heuristics (Discovered IP: 113.161.1.2, Discovered URL: http://113.161.1.2, Verdict: Malware, HTTP Status: 503), Zeroday: No"
113.171.191.224,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T19:26:21.616755+00:00,"Related with IP detected by heuristics (Discovered IP: 113.171.191.224, Discovered URL: http://113.171.191.224, Verdict: Malware, HTTP Status: 404), Zeroday: No"
113.176.195.107,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:44:17.651104+00:00,"Related with IP detected by heuristics (Discovered IP: 113.176.195.107, Discovered URL: http://113.176.195.107, Verdict: Malware, HTTP Status: 500), Zeroday: No"
113.30.154.158,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:40:50.923470+00:00,"Related with IP detected by heuristics (Discovered IP: 113.30.154.158, Discovered URL: http://113.30.154.158, Verdict: Malware, HTTP Status: 404), Zeroday: No"
114.36.225.122,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:24:50.429763+00:00,"Related with IP detected by heuristics (Discovered IP: 114.36.225.122, Discovered URL: http://114.36.225.122, Verdict: Malware, HTTP Status: 404), Zeroday: No"
115.190.40.219,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:45:36.008350+00:00,"Related with IP detected by heuristics (Discovered IP: 115.190.40.219, Discovered URL: http://115.190.40.219, Verdict: Malware, HTTP Status: 404), Zeroday: No"
