IP,Categories,References,ReportDate,Comment
103.127.63.67,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:42:57.626205+00:00,"Related with IP detected by heuristics (Discovered IP: 103.127.63.67, Discovered URL: http://103.127.63.67, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.127.86.174,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:31:13.232428+00:00,"Related with IP detected by heuristics (Discovered IP: 103.127.86.174, Discovered URL: http://103.127.86.174, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.13.112.55,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:15:33.813355+00:00,"Related with IP detected by heuristics (Discovered IP: 103.13.112.55, Discovered URL: http://103.13.112.55, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.130.218.42,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:41:07.750061+00:00,"Related with IP detected by heuristics (Discovered IP: 103.130.218.42, Discovered URL: http://103.130.218.42, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.134.79.105,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:40:00.041292+00:00,"Related with IP detected by heuristics (Discovered IP: 103.134.79.105, Discovered URL: http://103.134.79.105, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.139.171.150,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:46:48.407396+00:00,"Related with IP detected by heuristics (Discovered IP: 103.139.171.150, Discovered URL: http://103.139.171.150, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.143.214.81,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-04T04:40:09.734339+00:00,"Related with IP detected by heuristics (Discovered IP: 103.143.214.81, Discovered URL: http://103.143.214.81, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.144.33.181,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-04T04:55:06.307652+00:00,"Related with IP detected by heuristics (Discovered IP: 103.144.33.181, Discovered URL: http://103.144.33.181, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.145.191.180,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:30:06.305506+00:00,"Related with IP detected by heuristics (Discovered IP: 103.145.191.180, Discovered URL: http://103.145.191.180, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.146.122.225,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:28:01.363371+00:00,"Related with IP detected by heuristics (Discovered IP: 103.146.122.225, Discovered URL: http://103.146.122.225, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.151.20.179,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:29:21.984056+00:00,"Related with IP detected by heuristics (Discovered IP: 103.151.20.179, Discovered URL: http://103.151.20.179, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
